                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1861,                0.82777,                 1.5625,                0.92164,                 0.9097,                0.96947,                0.75871,                 0.7534,                0.43057,                 1.1856,              0.0033305,              0.0033305,              0.0033305
                      2,                0.99548,                0.54625,                 1.3273,                0.91465,                0.89182,                0.95847,                0.76105,                0.74899,                0.45784,                 1.1213,              0.0065814,              0.0065814,              0.0065814
                      3,                 1.0008,                0.55536,                   1.33,                 0.8925,                0.88729,                0.94666,                0.72553,                0.78637,                0.52482,                 1.2124,              0.0097498,              0.0097498,              0.0097498
                      1,                 1.1861,                0.82777,                 1.5625,                0.92164,                 0.9097,                0.96947,                0.75871,                 0.7534,                0.43057,                 1.1856,              0.0033305,              0.0033305,              0.0033305
                      2,                0.99548,                0.54625,                 1.3273,                0.91465,                0.89182,                0.95847,                0.76105,                0.74899,                0.45784,                 1.1213,              0.0065814,              0.0065814,              0.0065814
                      3,                 1.0008,                0.55536,                   1.33,                 0.8925,                0.88729,                0.94666,                0.72553,                0.78637,                0.52482,                 1.2124,              0.0097498,              0.0097498,              0.0097498
                      4,                0.99304,                0.56491,                 1.3535,                   0.91,                0.88999,                0.95427,                0.75346,                0.73258,                0.50352,                 1.2087,              0.0096288,              0.0096288,              0.0096288
                      5,                0.94397,                0.52621,                 1.3032,                0.92549,                0.91508,                0.96738,                0.78607,                0.70367,                0.44409,                 1.1042,               0.009505,               0.009505,               0.009505
                      6,                0.90156,                0.50077,                 1.2725,                0.93188,                0.91515,                0.97305,                0.79312,                0.69872,                0.41676,                 1.0938,              0.0093813,              0.0093813,              0.0093813
                      7,                0.87013,                0.47969,                 1.2296,                 0.9399,                0.90309,                0.97031,                0.78719,                0.68702,                0.41851,                 1.0676,              0.0092575,              0.0092575,              0.0092575
                      8,                0.84445,                0.46092,                 1.2195,                 0.9452,                 0.9075,                  0.973,                0.80031,                0.67714,                0.39906,                 1.0961,              0.0091337,              0.0091337,              0.0091337
                      9,                 0.8218,                0.44785,                 1.2008,                0.93426,                0.91356,                0.97093,                0.79124,                0.70315,                 0.4115,                  1.102,                0.00901,                0.00901,                0.00901
                     10,                0.80279,                0.43346,                 1.1947,                0.93785,                0.91482,                0.97357,                0.81128,                0.66983,                0.40167,                 1.1124,              0.0088863,              0.0088863,              0.0088863
                     11,                0.78794,                0.42402,                 1.1763,                0.94341,                 0.9105,                0.97468,                0.81207,                0.66436,                0.38507,                 1.1114,              0.0087625,              0.0087625,              0.0087625
                     12,                0.77506,                0.41327,                 1.1904,                0.93842,                0.91194,                 0.9736,                 0.8109,                0.66573,                0.39398,                 1.0917,              0.0086388,              0.0086388,              0.0086388
                     13,                0.75835,                0.40771,                 1.1749,                0.95316,                0.90391,                0.97507,                0.81876,                0.66044,                0.38991,                 1.1056,               0.008515,               0.008515,               0.008515
                     14,                0.75103,                0.39611,                 1.1548,                0.93982,                0.91003,                0.97199,                0.81723,                 0.6518,                0.39411,                 1.1313,              0.0083913,              0.0083913,              0.0083913
                     15,                0.74319,                0.39459,                 1.1567,                0.93395,                0.92003,                0.97273,                0.82518,                  0.635,                0.38403,                 1.1003,              0.0082675,              0.0082675,              0.0082675
                     16,                0.73765,                0.38861,                 1.1594,                0.94806,                0.90629,                0.97086,                0.82275,                0.65189,                0.39216,                 1.0992,              0.0081437,              0.0081437,              0.0081437
                     17,                  0.724,                0.38164,                 1.1384,                0.93607,                 0.9156,                0.96923,                0.80742,                0.66186,                0.38551,                 1.1389,                0.00802,                0.00802,                0.00802
                     18,                0.71295,                0.37534,                 1.1422,                0.93997,                0.90567,                0.96869,                0.81926,                0.63441,                0.39606,                 1.0735,              0.0078963,              0.0078963,              0.0078963
                     19,                0.70388,                0.37087,                 1.1245,                 0.9453,                0.91717,                0.97496,                0.82584,                0.63885,                0.36515,                 1.0527,              0.0077725,              0.0077725,              0.0077725
                     20,                0.70068,                0.36616,                 1.1069,                0.95339,                0.90334,                0.96688,                0.82548,                0.63714,                0.39754,                 1.1199,              0.0076488,              0.0076488,              0.0076488
                     21,                0.68921,                0.35792,                 1.1173,                0.94531,                0.91682,                0.97124,                0.82801,                0.64046,                0.38338,                 1.1286,               0.007525,               0.007525,               0.007525
                     22,                0.68105,                 0.3557,                 1.1077,                 0.9413,                0.91978,                  0.972,                0.83269,                0.63003,                0.37856,                 1.1039,              0.0074013,              0.0074013,              0.0074013
                     23,                0.64256,                0.33424,                 1.0789,                0.95181,                0.91063,                0.97095,                0.83417,                0.62563,                0.37913,                 1.0734,              0.0072775,              0.0072775,              0.0072775
                     24,                0.66884,                0.34503,                 1.1014,                0.94651,                0.91555,                0.97232,                0.83555,                0.63724,                 0.3822,                  1.057,              0.0071538,              0.0071538,              0.0071538
                     25,                 0.6586,                0.34106,                 1.0854,                0.94465,                0.90972,                0.97021,                0.83216,                0.62426,                0.38747,                 1.0682,                0.00703,                0.00703,                0.00703
                     26,                 0.6528,                0.33694,                 1.0865,                0.94433,                0.91926,                0.96961,                0.83511,                0.62041,                0.37772,                 1.0659,              0.0069063,              0.0069063,              0.0069063
                     27,                0.64136,                0.32866,                 1.0889,                0.94558,                0.91952,                0.96915,                0.83809,                0.62233,                0.38358,                 1.0985,              0.0067825,              0.0067825,              0.0067825
                     28,                0.63732,                0.32719,                 1.0835,                0.95002,                0.90985,                0.97076,                0.84129,                0.61979,                 0.3831,                 1.1441,              0.0066587,              0.0066587,              0.0066587
                     29,                0.62473,                0.32187,                 1.0826,                0.94719,                0.91377,                0.96816,                0.83931,                0.61174,                0.39357,                 1.1175,               0.006535,               0.006535,               0.006535
                     30,                0.62177,                0.31684,                  1.065,                0.95166,                0.91047,                0.97159,                0.84089,                0.62153,                0.37703,                 1.0847,              0.0064112,              0.0064112,              0.0064112
                     31,                0.60104,                0.30721,                   1.06,                0.94441,                0.91168,                0.96437,                0.83793,                0.61232,                 0.3891,                 1.1077,              0.0062875,              0.0062875,              0.0062875
                     32,                0.60791,                0.30865,                 1.0468,                0.94661,                0.91508,                 0.9704,                0.84609,                 0.6044,                0.37974,                 1.0685,              0.0061637,              0.0061637,              0.0061637
                     33,                0.59745,                0.30635,                 1.0456,                0.94281,                0.91754,                0.96895,                0.83953,                0.61889,                0.38493,                 1.0694,                0.00604,                0.00604,                0.00604
                     34,                0.59178,                 0.3019,                 1.0351,                0.94952,                0.91425,                0.96844,                0.84173,                 0.6107,                0.37238,                 1.0706,              0.0059163,              0.0059163,              0.0059163
                     35,                 0.5824,                0.29553,                 1.0391,                0.95414,                0.90854,                0.96677,                0.84038,                0.61217,                0.38314,                 1.0743,              0.0057925,              0.0057925,              0.0057925
                     36,                0.58008,                0.29277,                 1.0337,                0.94181,                  0.919,                0.96764,                0.84251,                0.60926,                0.38784,                 1.0708,              0.0056688,              0.0056688,              0.0056688
                     37,                0.56777,                0.28612,                 1.0317,                0.94807,                 0.9111,                0.96642,                0.84258,                0.61924,                0.39703,                 1.0891,               0.005545,               0.005545,               0.005545
                     38,                0.56459,                0.28389,                 1.0225,                 0.9479,                 0.9156,                0.96691,                0.84329,                0.60678,                0.39044,                 1.0728,              0.0054212,              0.0054212,              0.0054212
                     39,                0.57217,                0.28938,                 1.0238,                0.95659,                0.90412,                0.96803,                0.84342,                0.61316,                0.39283,                 1.0822,              0.0052975,              0.0052975,              0.0052975
                     40,                0.54544,                0.27453,                 1.0162,                  0.953,                0.90597,                0.96328,                0.84372,                0.60969,                0.39032,                 1.0913,              0.0051737,              0.0051737,              0.0051737
                     41,                0.54584,                0.27514,                  1.017,                0.94945,                0.90803,                0.96229,                0.84324,                0.60562,                0.39326,                 1.0672,                0.00505,                0.00505,                0.00505
                     42,                 0.5385,                0.27323,                 1.0038,                0.94939,                0.90672,                0.96206,                0.83907,                 0.6153,                0.38835,                 1.0606,              0.0049263,              0.0049263,              0.0049263
                     43,                0.53146,                0.26736,                 1.0039,                0.94951,                0.90913,                0.96231,                  0.841,                0.60238,                0.39011,                 1.0472,              0.0048025,              0.0048025,              0.0048025
